% Supplemental Table S1: P-V-T data on Fe–9Si from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a D03 alloy (Å)	± (Å)	a hcp alloy (Å)	± (Å)	c/a hcp alloy	±	a B2 alloy (Å)	± (Å)	a fcc alloy (Å)	± (Å)
hcp+B2	2208	117	127.0	3.1	3.009	0.007	-	-	2.284	0.001	1.614	0.001	2.551	0.010	-	-
hcp+B2	2325	119	127.6	3.1	3.008	0.007	-	-	2.286	0.001	1.613	0.001	2.555	0.019	-	-
hcp+B2	2448	121	128.9	3.2	3.005	0.007	-	-	2.285	0.001	1.614	0.001	2.554	0.010	-	-
hcp+B2	2528	127	128.4	2.6	3.007	0.005	-	-	2.285	0.001	1.614	0.001	2.553	0.008	-	-
hcp+B2	2643	137	128.2	2.7	3.008	0.006	-	-	2.286	0.001	1.612	0.001	2.549	0.002	-	-
hcp+B2	2760	126	128.9	2.5	3.006	0.005	-	-	2.286	0.000	1.615	0.000	2.550	0.001	-	-
hcp+B2	2888	128	128.4	2.7	3.008	0.005	-	-	2.287	0.000	1.620	0.000	2.554	0.002	-	-
hcp+B2	2995	142	128.0	2.6	3.013	0.006	-	-	2.288	0.001	1.610	0.000	2.556	0.002	-	-
hcp+B2	2500	121	147.2	3.9	2.968	0.007	-	-	2.263	0.000	1.616	0.000	2.525	0.006	-	-
hcp+B2	2629	123	149.5	3.2	2.963	0.006	-	-	2.264	0.000	1.617	0.000	2.523	0.003	-	-
hcp+B2	2752	130	149.1	3.6	2.965	0.007	-	-	2.264	0.000	1.616	0.000	2.523	0.004	-	-
hcp+B2	2883	141	149.1	3.6	2.965	0.006	-	-	2.265	0.001	1.615	0.001	2.524	0.001	-	-
hcp+B2	2985	139	147.5	3.5	2.968	0.006	-	-	2.267	0.001	1.610	0.001	2.523	0.001	-	-
hcp+B2	2637	124	176.9	4.2	2.916	0.006	-	-	2.235	0.001	1.616	0.001	2.490	*	-	-
hcp+B2	2771	126	176.3	4.1	2.917	0.006	-	-	2.236	0.001	1.617	0.000	2.490	*	-	-
hcp+B2	2979	136	177.7	3.5	2.915	0.005	-	-	2.236	0.000	1.616	0.000	2.494	*	-	-
hcp+B2	3119	133	176.4	4.4	2.917	0.007	-	-	2.235	0.001	1.620	0.001	2.491	0.002	-	-
hcp+B2	3259	148	180.0	3.6	2.912	0.005	-	-	2.235	0.002	1.622	0.001	2.493	0.001	-	-
hcp+B2	3434	140	177.6	4.5	2.916	0.007	-	-	2.237	0.001	1.618	0.001	2.493	0.001	-	-
hcp+B2	3557	168	177.2	3.4	2.917	0.005	-	-	2.236	0.001	1.621	0.001	2.496	0.001	-	-
hcp+B2	3926	246	179.7	3.6	2.914	0.005	-	-	2.238	0.001	1.621	0.001	2.502	0.003	-	-
hcp+B2	4012	204	180.3	3.2	2.913	0.004	-	-	2.238	0.001	1.619	0.001	2.501	0.002	-	-
hcp+B2	2696	130	198.4	3.5	2.883	0.005	-	-	2.220	0.002	1.617	0.001	2.481	0.002	-	-
hcp+B2	2816	128	197.3	4.0	2.886	0.006	-	-	2.221	0.002	1.614	0.002	2.473	*	-	-
hcp+B2	2916	130	198.6	3.4	2.883	0.004	-	-	2.221	0.002	1.616	0.002	2.475	*	-	-
hcp+B2	3416	139	197.6	4.5	2.886	0.006	-	-	2.222	0.002	1.621	0.001	2.478	0.000	-	-
hcp+B2	3714	165	199.7	3.6	2.883	0.005	-	-	2.223	0.002	1.623	0.001	2.480	0.001	-	-
hcp+B2	3796	188	200.4	3.0	2.882	0.004	-	-	2.224	0.002	1.621	0.001	2.482	0.001	-	-
hcp+B2	3617	210	200.2	3.3	2.882	0.004	-	-	2.224	0.002	1.618	0.001	2.480	0.001	-	-
